date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,12,21,21,21,30,5,58,0.0,1014,21,10,352,14,North_Carolina
2022-09-01 01:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,12,20,20,20,28,5,59,0.0,1015,20,10,236,13,North_Carolina
2022-09-01 02:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,11,19,19,19,26,6,61,0.0,1015,19,10,119,12,North_Carolina
2022-09-01 03:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,11,18,18,18,23,6,63,0.0,1015,18,10,3,11,North_Carolina
2022-09-01 04:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,11,18,18,18,22,6,64,0.0,1015,18,10,3,10,North_Carolina
2022-09-01 05:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,11,18,18,18,20,6,65,0.0,1016,18,10,3,10,North_Carolina
2022-09-01 06:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,11,17,17,17,19,7,66,0.0,1016,17,10,4,9,North_Carolina
2022-09-01 07:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,11,19,20,19,16,6,61,0.0,1017,19,10,8,9,North_Carolina
2022-09-01 08:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,11,21,22,21,14,6,55,0.0,1017,21,10,13,9,North_Carolina
2022-09-01 09:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,11,25,25,23,12,5,49,0.0,1017,23,10,18,9,North_Carolina
2022-09-01 10:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,12,27,27,26,11,5,43,0.0,1017,26,10,24,9,North_Carolina
2022-09-01 11:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,13,30,30,29,10,4,37,0.0,1017,29,10,30,8,North_Carolina
2022-09-01 12:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,14,32,32,33,9,3,31,0.0,1017,33,10,37,8,North_Carolina
2022-09-01 13:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,13,33,33,34,9,4,29,0.0,1016,34,10,137,8,North_Carolina
2022-09-01 14:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,13,34,34,34,9,5,27,0.0,1016,34,10,237,8,North_Carolina
2022-09-01 15:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,12,35,35,35,9,6,25,0.0,1015,35,10,337,8,North_Carolina
2022-09-01 16:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,12,34,34,34,9,6,26,0.0,1015,34,10,337,8,North_Carolina
2022-09-01 17:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,12,33,33,34,9,6,26,0.0,1015,34,10,338,8,North_Carolina
2022-09-01 18:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,11,32,32,33,9,6,27,0.0,1015,33,10,338,8,North_Carolina
2022-09-01 19:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,11,29,29,30,12,6,32,0.0,1015,30,10,237,8,North_Carolina
2022-09-01 20:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,11,27,27,27,14,6,38,0.0,1016,27,10,135,8,North_Carolina
2022-09-01 21:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,10,25,25,24,17,6,43,0.0,1016,24,10,33,8,North_Carolina
2022-09-01 22:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,10,24,24,23,17,5,45,0.0,1017,23,10,50,8,North_Carolina
2022-09-01 23:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,10,22,22,22,17,4,46,0.0,1017,22,10,66,8,North_Carolina
2022-09-02 00:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,10,21,21,21,17,3,48,0.0,1017,21,10,83,8,North_Carolina
2022-09-02 01:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,10,20,20,20,14,4,52,0.0,1017,20,10,70,7,North_Carolina
2022-09-02 02:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,10,20,20,20,11,4,55,0.0,1017,20,10,58,5,North_Carolina
2022-09-02 03:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,11,19,19,19,8,4,59,0.0,1018,19,10,45,4,North_Carolina
2022-09-02 04:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,11,18,18,18,11,4,63,0.0,1018,18,10,34,5,North_Carolina
2022-09-02 05:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,12,18,18,18,14,5,68,0.0,1019,18,10,23,7,North_Carolina
2022-09-02 06:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,12,17,17,17,17,5,72,0.0,1019,17,10,12,8,North_Carolina
2022-09-02 07:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,13,19,20,19,15,5,68,0.0,1020,19,10,22,9,North_Carolina
2022-09-02 08:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,14,21,22,21,14,4,63,0.0,1020,21,10,32,9,North_Carolina
2022-09-02 09:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,15,25,25,23,12,4,59,0.0,1020,23,10,43,10,North_Carolina
2022-09-02 10:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,15,28,28,27,12,4,51,0.0,1020,27,10,70,10,North_Carolina
2022-09-02 11:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,16,32,32,30,13,5,42,0.0,1020,30,10,97,11,North_Carolina
2022-09-02 12:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,16,35,35,34,13,5,34,0.0,1020,34,10,124,12,North_Carolina
2022-09-02 13:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,16,35,35,35,13,7,32,0.0,1020,35,10,126,11,North_Carolina
2022-09-02 14:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,15,36,36,35,13,9,30,0.0,1019,35,10,128,11,North_Carolina
2022-09-02 15:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,15,36,36,36,13,11,29,0.0,1019,36,10,130,11,North_Carolina
2022-09-02 16:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,15,35,35,35,14,18,29,0.0,1018,35,10,127,12,North_Carolina
2022-09-02 17:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,14,34,34,34,15,25,30,0.0,1018,34,10,124,13,North_Carolina
2022-09-02 18:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,14,33,33,33,17,31,31,0.0,1017,33,10,121,14,North_Carolina
2022-09-02 19:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,15,31,31,31,20,36,40,0.0,1018,31,10,128,15,North_Carolina
2022-09-02 20:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,16,30,30,29,24,41,49,0.0,1019,29,10,135,16,North_Carolina
2022-09-02 21:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,18,28,28,27,27,46,58,0.0,1020,27,10,142,18,North_Carolina
2022-09-02 22:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,18,27,27,26,26,35,62,0.0,1020,26,10,143,16,North_Carolina
2022-09-02 23:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,18,26,26,25,24,23,67,0.0,1021,25,10,144,14,North_Carolina
2022-09-03 00:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,18,25,25,24,22,12,71,0.0,1021,24,10,144,12,North_Carolina
2022-09-03 01:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,18,24,24,23,19,14,78,0.0,1022,23,10,147,10,North_Carolina
2022-09-03 02:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,19,22,22,22,16,16,85,0.0,1022,22,10,150,8,North_Carolina
2022-09-03 03:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,19,21,21,21,13,18,92,0.0,1022,21,10,153,6,North_Carolina
2022-09-03 04:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,19,20,20,20,12,27,93,0.0,1022,20,7,154,6,North_Carolina
2022-09-03 05:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,19,20,20,20,10,36,94,0.0,1022,20,5,155,5,North_Carolina
2022-09-03 06:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,19,20,20,20,9,44,95,0.0,1023,20,2,157,4,North_Carolina
2022-09-03 07:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,19,21,22,21,8,40,89,0.0,1023,21,5,140,4,North_Carolina
2022-09-03 08:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,19,24,24,23,6,35,82,0.0,1023,23,7,124,4,North_Carolina
2022-09-03 09:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,20,26,26,24,5,31,76,0.0,1024,24,10,108,4,North_Carolina
2022-09-03 10:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,19,28,28,26,7,48,67,0.0,1024,26,10,109,6,North_Carolina
2022-09-03 11:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,19,30,30,28,9,65,58,0.0,1023,28,10,109,8,North_Carolina
2022-09-03 12:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,18,31,31,30,12,82,49,0.0,1023,30,10,110,10,North_Carolina
2022-09-03 13:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,17,32,32,31,12,64,44,0.0,1022,31,10,116,11,North_Carolina
2022-09-03 14:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,16,33,33,32,13,45,39,0.0,1021,32,10,121,12,North_Carolina
2022-09-03 15:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,15,34,34,33,14,27,34,0.0,1021,33,10,127,12,North_Carolina
2022-09-03 16:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,16,32,32,32,17,27,37,0.0,1020,32,10,129,14,North_Carolina
2022-09-03 17:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,16,31,31,31,20,27,41,0.0,1020,31,10,132,16,North_Carolina
2022-09-03 18:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,17,30,30,30,23,27,45,0.0,1020,30,10,134,18,North_Carolina
2022-09-03 19:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,17,29,29,28,21,25,52,0.0,1020,28,10,144,15,North_Carolina
2022-09-03 20:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,17,27,27,26,20,22,58,0.0,1020,26,10,155,12,North_Carolina
2022-09-03 21:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,18,26,26,25,18,20,65,0.0,1021,25,10,165,9,North_Carolina
2022-09-03 22:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,17,26,26,24,22,25,65,0.0,1021,24,10,162,11,North_Carolina
2022-09-03 23:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,16,25,25,23,25,29,65,0.0,1021,23,10,159,13,North_Carolina
2022-09-04 00:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,16,25,25,23,29,34,65,0.0,1021,23,10,156,15,North_Carolina
2022-09-04 01:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,16,23,23,22,25,38,71,0.0,1021,22,10,162,13,North_Carolina
2022-09-04 02:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,17,21,22,21,21,42,76,0.0,1021,21,10,167,11,North_Carolina
2022-09-04 03:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,18,21,21,21,17,46,82,0.0,1021,21,10,172,9,North_Carolina
2022-09-04 04:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,18,20,20,20,16,42,84,0.0,1021,20,10,184,8,North_Carolina
2022-09-04 05:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,18,20,20,20,14,37,87,0.0,1021,20,10,196,7,North_Carolina
2022-09-04 06:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,18,20,20,20,13,33,89,0.0,1021,20,10,208,6,North_Carolina
2022-09-04 07:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,18,21,22,21,10,38,84,0.0,1021,21,10,225,5,North_Carolina
2022-09-04 08:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,18,23,23,22,6,43,78,0.0,1021,22,10,243,4,North_Carolina
2022-09-04 09:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,18,25,25,23,3,48,73,0.0,1021,23,10,260,3,North_Carolina
2022-09-04 10:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,18,27,27,25,4,65,65,0.0,1021,25,10,203,3,North_Carolina
2022-09-04 11:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,18,29,29,27,5,83,58,0.0,1021,27,10,147,4,North_Carolina
2022-09-04 12:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,18,30,30,29,5,100,50,0.0,1020,29,10,90,5,North_Carolina
2022-09-04 13:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,18,30,30,28,7,83,54,0.0,1020,28,10,169,6,North_Carolina
2022-09-04 14:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,18,29,29,27,9,67,57,0.0,1019,27,10,248,8,North_Carolina
2022-09-04 15:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,19,28,28,27,11,50,61,0.0,1019,27,10,327,9,North_Carolina
2022-09-04 16:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,19,28,28,26,14,53,64,0.0,1018,26,10,331,11,North_Carolina
2022-09-04 17:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,19,27,27,26,17,56,66,0.0,1018,26,10,335,13,North_Carolina
2022-09-04 18:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,19,27,27,25,20,59,69,0.0,1017,25,10,339,15,North_Carolina
2022-09-04 19:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,19,26,26,25,18,55,71,0.0,1018,25,10,336,12,North_Carolina
2022-09-04 20:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,19,26,26,24,16,51,73,0.0,1018,24,10,333,10,North_Carolina
2022-09-04 21:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,18,25,25,23,14,48,75,0.0,1018,23,10,330,8,North_Carolina
2022-09-04 22:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,18,25,25,24,16,42,70,0.0,1018,24,10,277,9,North_Carolina
2022-09-04 23:00:00,29,20,0.0,10.3,6,56,03:32 PM,12:05 AM,06:52 AM,07:41 PM,17,26,26,24,18,37,65,0.0,1018,24,10,224,11,North_Carolina
2022-09-05 00:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,16,26,26,25,20,31,60,0.0,1017,25,10,171,12,North_Carolina
2022-09-05 01:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,17,25,25,24,21,48,68,0.0,1017,24,10,175,12,North_Carolina
2022-09-05 02:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,18,25,25,23,22,65,75,0.1,1017,23,9,178,13,North_Carolina
2022-09-05 03:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,19,25,25,22,22,82,83,0.1,1018,22,9,181,13,North_Carolina
2022-09-05 04:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,19,21,23,21,21,69,86,0.0,1018,21,9,186,12,North_Carolina
2022-09-05 05:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,19,21,21,21,19,56,90,0.0,1018,21,10,192,10,North_Carolina
2022-09-05 06:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,19,20,20,20,17,43,93,0.0,1018,20,10,197,9,North_Carolina
2022-09-05 07:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,19,21,22,21,15,40,87,0.0,1018,21,10,205,9,North_Carolina
2022-09-05 08:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,19,24,24,22,13,37,82,0.0,1019,22,10,213,9,North_Carolina
2022-09-05 09:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,19,25,25,24,11,34,76,0.0,1019,24,10,221,9,North_Carolina
2022-09-05 10:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,19,27,27,25,12,43,69,0.0,1019,25,10,226,10,North_Carolina
2022-09-05 11:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,19,28,28,27,13,52,62,0.0,1019,27,10,231,11,North_Carolina
2022-09-05 12:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,18,29,29,28,13,62,56,0.0,1019,28,10,235,12,North_Carolina
2022-09-05 13:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,18,30,30,29,13,69,52,0.0,1019,29,10,238,11,North_Carolina
2022-09-05 14:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,18,31,31,29,13,77,49,0.0,1018,29,10,241,11,North_Carolina
2022-09-05 15:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,17,31,31,30,13,84,46,0.0,1017,30,10,244,11,North_Carolina
2022-09-05 16:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,17,30,30,29,15,69,50,0.0,1017,29,10,255,12,North_Carolina
2022-09-05 17:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,18,29,29,28,16,55,55,0.0,1017,28,10,266,13,North_Carolina
2022-09-05 18:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,18,28,28,27,18,40,60,0.0,1017,27,10,277,13,North_Carolina
2022-09-05 19:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,18,27,27,26,17,42,65,0.0,1017,26,10,282,12,North_Carolina
2022-09-05 20:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,18,26,26,24,16,43,70,0.0,1017,24,10,286,10,North_Carolina
2022-09-05 21:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,19,25,25,23,15,45,74,0.0,1018,23,10,290,8,North_Carolina
2022-09-05 22:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,18,25,25,23,15,44,73,0.0,1018,23,10,259,7,North_Carolina
2022-09-05 23:00:00,30,20,0.0,9.0,7,62,04:36 PM,01:00 AM,06:52 AM,07:40 PM,17,25,25,23,14,44,72,0.0,1018,23,10,228,7,North_Carolina
2022-09-06 00:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,17,25,25,22,13,44,71,0.0,1018,22,10,196,6,North_Carolina
2022-09-06 01:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,17,22,23,22,16,42,75,0.0,1017,22,10,200,7,North_Carolina
2022-09-06 02:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,18,21,22,21,18,40,80,0.0,1017,21,10,204,9,North_Carolina
2022-09-06 03:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,18,21,21,21,21,39,84,0.0,1017,21,10,208,10,North_Carolina
2022-09-06 04:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,19,21,21,21,19,41,88,0.0,1017,21,7,212,9,North_Carolina
2022-09-06 05:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,19,21,21,21,18,43,92,0.0,1017,21,5,216,9,North_Carolina
2022-09-06 06:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,20,20,20,20,16,46,96,0.0,1017,20,2,220,8,North_Carolina
2022-09-06 07:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,20,22,22,22,16,56,90,0.0,1018,22,5,225,10,North_Carolina
2022-09-06 08:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,20,25,25,23,15,67,84,0.0,1018,23,7,230,11,North_Carolina
2022-09-06 09:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,21,27,27,25,14,78,79,0.0,1018,25,10,235,13,North_Carolina
2022-09-06 10:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,21,29,29,27,15,80,71,0.0,1018,27,10,238,13,North_Carolina
2022-09-06 11:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,21,31,31,29,15,82,63,0.0,1017,29,10,242,13,North_Carolina
2022-09-06 12:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,21,34,34,31,15,84,55,0.0,1017,31,10,246,13,North_Carolina
2022-09-06 13:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,20,34,34,32,15,66,49,0.0,1016,32,10,252,13,North_Carolina
2022-09-06 14:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,19,35,35,33,15,47,43,0.0,1015,33,10,259,13,North_Carolina
2022-09-06 15:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,17,36,36,34,14,28,37,0.0,1015,34,10,266,13,North_Carolina
2022-09-06 16:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,17,35,35,34,17,27,38,0.0,1015,34,10,288,14,North_Carolina
2022-09-06 17:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,17,34,34,33,19,25,40,0.0,1014,33,10,310,15,North_Carolina
2022-09-06 18:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,17,33,33,32,21,23,42,0.0,1014,32,10,333,16,North_Carolina
2022-09-06 19:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,18,31,31,30,20,24,50,0.0,1015,30,10,237,14,North_Carolina
2022-09-06 20:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,18,29,29,27,18,24,58,0.0,1016,27,10,142,11,North_Carolina
2022-09-06 21:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,18,27,27,25,17,25,66,0.0,1017,25,10,47,8,North_Carolina
2022-09-06 22:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,18,26,26,24,16,23,70,0.0,1016,24,10,146,8,North_Carolina
2022-09-06 23:00:00,34,20,0.0,9.0,7,69,05:34 PM,02:05 AM,06:53 AM,07:38 PM,18,25,25,23,15,22,74,0.0,1016,23,10,244,7,North_Carolina
2022-09-07 00:00:00,32,19,0.0,9.0,7,76,06:21 PM,03:17 AM,06:54 AM,07:37 PM,18,22,25,22,14,20,78,0.0,1016,22,10,343,7,North_Carolina
2022-09-07 01:00:00,32,19,0.0,9.0,7,76,06:21 PM,03:17 AM,06:54 AM,07:37 PM,18,21,23,21,16,19,82,0.0,1016,21,10,234,8,North_Carolina
2022-09-07 02:00:00,32,19,0.0,9.0,7,76,06:21 PM,03:17 AM,06:54 AM,07:37 PM,18,21,22,21,17,19,86,0.0,1015,21,10,126,8,North_Carolina
2022-09-07 03:00:00,32,19,0.0,9.0,7,76,06:21 PM,03:17 AM,06:54 AM,07:37 PM,18,20,20,20,18,18,90,0.0,1015,20,10,18,9,North_Carolina
2022-09-07 04:00:00,32,19,0.0,9.0,7,76,06:21 PM,03:17 AM,06:54 AM,07:37 PM,18,20,20,20,19,45,92,0.0,1015,20,7,21,9,North_Carolina
